title,rating,netflix_year,family_friendly,age,titleType,startYear,endYear,runtimeMinutes,genres,IMDb Rating,numVotes
Power Rangers Dino Charge,TV-Y7,2015,1,kid,tvSeries,2015,2016,21,"Action,Adventure,Family",6.6,2205.0
Haters Back Off,TV-14,2016,1,teen,tvSeries,2016,2017,30,"Comedy,Drama,Family",5.8,8167.0
Bordertown,TV-14,2016,1,teen,tvSeries,2016,2016,21,"Animation,Comedy",5.6,3465.0
Come Fly With Me,TV-14,2010,1,teen,tvSeries,2010,2011,29,Comedy,7.5,10960.0
Kong: King of the Apes,TV-Y7-FV,2016,1,kid,tvSeries,2016,2018,,"Action,Adventure,Animation",5.7,463.0
Travelers,TV-MA,2016,0,adult,tvSeries,2016,2018,45,"Drama,Mystery,Sci-Fi",8.0,72487.0
Dave Chappelle,TV-MA,2017,0,adult,tvSeries,2017,2017,66,"Comedy,Documentary",8.6,3210.0
Merlí?,TV-PG,2015,1,teen,tvSeries,2015,2018,58,"Comedy,Drama,Romance",8.6,11203.0
Hot Girls Wanted: Turned On,TV-MA,2017,0,adult,tvMiniSeries,2017,2017,40,Documentary,6.6,2520.0
The Deep,TV-Y7,2015,1,kid,tvSeries,2015,0,22,"Action,Adventure,Animation",7.8,1136.0
Cheer Squad,TV-PG,2016,1,teen,tvSeries,2016,2016,60,Reality-TV,7.2,191.0
One Day at a Time,TV-PG,2017,1,teen,tvSeries,2017,2020,30,"Comedy,Drama",8.1,19964.0
Santa Clarita Diet,TV-MA,2017,0,adult,tvSeries,2017,2019,30,"Comedy,Horror",7.8,83463.0
Girlboss,TV-MA,2017,0,adult,tvSeries,2017,2017,26,Comedy,6.9,20788.0
Clifford's Puppy Days,TV-Y,2003,1,kid,tvSeries,2003,2006,30,"Animation,Comedy,Family",6.6,448.0
13 Reasons Why,TV-MA,2017,0,adult,tvSeries,2017,2020,60,"Drama,Mystery,Thriller",7.4,340571.0
The Returned,TV-14,2015,1,teen,tvSeries,2015,2015,42,"Drama,Fantasy,Horror",7.0,12493.0
Word Party,TV-Y,2016,1,kid,tvSeries,2016,2021,11,"Animation,Family",5.5,431.0
Little Baby Bum: Nursery Rhyme Friends,TV-Y,2016,1,kid,tvSeries,2016,2019,60,"Animation,Family,Music",6.6,61.0
Kurt Seyit & Sura,TV-14,2014,1,teen,tvSeries,2014,2014,90,"Drama,History,Romance",7.2,4960.0
My Animal Friends,TV-Y,2013,1,kid,tvSeries,2013,0,15,Family,,
Barbie Life in the Dreamhouse,TV-G,2012,1,kid,tvSeries,2012,2015,3,"Animation,Comedy,Family",7.7,4006.0
Sherlock,TV-14,2016,1,teen,tvSeries,2016,0,,"Crime,Drama,Mystery",7.6,87.0
The Crown,TV-MA,2016,0,adult,tvSeries,2016,2023,60,"Biography,Drama,History",8.6,282068.0
Care Bears: Welcome to Care-a-Lot,TV-Y,2012,1,kid,tvSeries,2012,2016,30,"Animation,Family",5.5,241.0
3%,TV-MA,2016,0,adult,tvSeries,2016,2020,49,"Action,Drama,Sci-Fi",7.2,30282.0
Ask the StoryBots,TV-Y,2016,1,kid,tvSeries,2016,2020,24,"Adventure,Animation,Comedy",8.5,1209.0
Death Note,TV-14,2006,1,teen,tvSeries,2006,2007,24,"Animation,Crime,Drama",8.9,485696.0
Luther,TV-14,2015,1,teen,tvMiniSeries,2015,0,,"Comedy,Thriller",7.7,11.0
Zoobabu,TV-Y,2010,1,kid,tvSeries,2010,2022,23,Animation,7.4,18.0
Skylanders Academy,TV-Y7,2016,1,kid,tvSeries,2016,2018,25,"Action,Adventure,Animation",6.8,1299.0
Touch,TV-14,2012,1,teen,tvSeries,2012,2013,43,"Drama,Mystery,Sci-Fi",7.3,43987.0
LEGO Jurassic World: The Indominus Escape,TV-Y7,2016,1,kid,tvMiniSeries,2016,2016,24,"Action,Adventure,Animation",5.7,1205.0
Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,2009,1,kid,tvSeries,2009,0,8,unknown,,
Monster Math Squad,TV-G,2012,1,kid,tvSeries,2012,0,30,Animation,6.3,53.0
Lost,TV-14,2010,1,teen,tvSeries,2010,2010,,Drama,,
Sid the Science Kid,TV-Y,2008,1,kid,tvSeries,2008,2021,27,"Animation,Comedy,Family",5.5,1241.0
Fearless,TV-14,2016,1,teen,tvSeries,2016,2016,,Documentary,7.2,369.0
Witches of East End,TV-14,2014,1,teen,tvSeries,2013,2014,60,"Drama,Fantasy,Horror",7.5,28742.0
The Carmichael Show,TV-14,2016,1,teen,tvSeries,2015,2017,21,Comedy,7.7,3473.0
Unbreakable Kimmy Schmidt,TV-14,2016,1,teen,tvSeries,2015,2019,30,Comedy,7.5,83589.0
Dinosaur King,TV-Y7-FV,2008,1,kid,tvSeries,2007,2009,30,"Action,Adventure,Animation",6.2,1393.0
Max Steel,TV-Y7-FV,2014,1,kid,tvSeries,2013,2015,23,"Action,Adventure,Animation",6.6,1931.0
Pretty Little Liars,TV-14,2016,1,teen,tvSeries,2015,2015,120,"Drama,Mystery,Thriller",6.1,1242.0
Puffin Rock,TV-Y,2016,1,kid,tvSeries,2015,2016,7,"Animation,Family",8.6,1414.0
Lie to Me,TV-14,2010,1,teen,tvSeries,2009,2011,43,"Crime,Drama,Mystery",8.0,135413.0
The Adventures of Chuck & Friends,TV-Y,2011,1,kid,tvSeries,2010,2012,22,"Animation,Family",5.1,167.0
Justice League Unlimited,TV-Y7-FV,2005,1,kid,tvSeries,2004,2006,23,"Action,Adventure,Animation",8.7,25896.0
Gon,TV-G,2013,1,kid,tvSeries,2012,2013,25,"Action,Adventure,Animation",5.5,202.0
Baby Daddy,TV-14,2016,1,teen,tvSeries,2015,0,,Drama,7.0,11.0
Girlfriends' Guide to Divorce,TV-14,2015,1,teen,tvSeries,2014,2018,60,"Comedy,Drama",7.0,5118.0
Fried,TV-MA,2015,0,adult,tvSeries,2014,0,23,Comedy,6.2,648.0
American Crime,TV-14,2016,1,teen,tvSeries,2015,2017,43,"Crime,Drama",7.7,10481.0
DreamWorks How to Train Your Dragon Legends,TV-PG,2011,1,teen,tvSeries,2010,2013,30,"Action,Adventure,Animation",7.4,870.0
Limitless,TV-14,2016,1,teen,tvSeries,2015,2016,42,"Comedy,Crime,Drama",7.6,75135.0
Pac-Man and the Ghostly Adventures,TV-Y7,2014,1,kid,tvSeries,2013,2016,30,"Action,Adventure,Animation",4.7,1164.0
Friends,TV-14,2003,1,teen,tvSeries,2002,0,50,"Drama,Romance",7.7,248.0
Home: Adventures with Tip & Oh,TV-Y7,2017,1,kid,tvSeries,2016,2018,23,"Adventure,Animation,Comedy",6.3,754.0
The Get Down,TV-MA,2017,0,adult,tvMiniSeries,2016,2017,52,"Drama,Music,Musical",8.2,24632.0
The Magicians,TV-MA,2016,0,adult,tvSeries,2015,2020,60,"Drama,Fantasy,Mystery",7.6,60324.0
Some Assembly Required,TV-G,2015,1,kid,tvSeries,2014,2016,23,"Comedy,Family",4.8,1390.0
The Adventures of Puss in Boots,TV-Y7-FV,2016,1,kid,tvSeries,2015,2018,23,"Action,Adventure,Animation",6.6,3013.0
Bunk'd,TV-G,2016,1,kid,tvSeries,2015,2024,30,"Comedy,Drama,Family",5.5,5229.0
The Night Shift,TV-14,2015,1,teen,tvSeries,2014,2017,42,"Drama,Romance",7.4,13891.0
Goldie & Bear,TV-Y,2016,1,kid,tvSeries,2015,2018,24,"Adventure,Animation,Family",6.2,492.0
Quantico,TV-14,2016,1,teen,tvSeries,2015,2018,42,"Crime,Drama,Mystery",6.7,65984.0
Love,TV-MA,2017,0,adult,tvSeries,2016,2018,50,"Comedy,Drama,Romance",7.6,48624.0
Breakout Kings,TV-14,2012,1,teen,tvSeries,2011,2012,43,"Crime,Drama,Thriller",7.2,16941.0
Documentary Now!,TV-14,2016,1,teen,tvSeries,2015,0,23,Comedy,8.1,8703.0
Better Call Saul,TV-MA,2016,0,adult,tvSeries,2015,2022,45,"Crime,Drama",9.0,842986.0
Schitt's Creek,TV-14,2016,1,teen,tvSeries,2015,2020,22,Comedy,8.5,174489.0
Chelsea,TV-MA,2017,0,adult,tvSeries,2016,2017,30,"Comedy,Talk-Show",6.4,2239.0
Voltron: Legendary Defender,TV-Y7-FV,2017,1,kid,tvSeries,2016,2018,23,"Action,Adventure,Animation",8.0,10915.0
The Furchester Hotel,TV-Y,2015,1,kid,tvSeries,2014,0,,"Family,Horror",7.4,187.0
Bloodline,TV-MA,2016,0,adult,tvSeries,2015,2017,60,"Drama,Mystery,Thriller",7.8,63656.0
Narcos,TV-MA,2016,0,adult,tvSeries,2015,2017,50,"Biography,Crime,Drama",8.7,530109.0
Robocar Poli,TV-Y,2012,1,kid,tvSeries,2011,2015,11,"Adventure,Animation,Comedy",5.8,261.0
Crossing Lines,TV-14,2015,1,teen,tvSeries,2013,2015,46,"Action,Crime,Drama",7.3,14317.0
Young Justice,TV-PG,2012,1,teen,tvSeries,2010,2022,23,"Action,Adventure,Animation",8.6,51171.0
Bitten,TV-MA,2016,0,adult,tvSeries,2014,2016,44,"Drama,Fantasy,Horror",6.9,20273.0
Reign,TV-14,2015,1,teen,tvSeries,2013,2017,42,"Drama,History,Romance",7.4,58019.0
Justice League,TV-Y7-FV,2003,1,kid,tvSeries,2001,2004,22,"Action,Adventure,Animation",8.5,57262.0
Gotham,TV-14,2016,1,teen,tvSeries,2014,2019,42,"Action,Crime,Drama",7.8,251992.0
Madam Secretary,TV-14,2016,1,teen,tvSeries,2014,2019,45,"Drama,Thriller",7.8,29556.0
Skin Wars,TV-14,2016,1,teen,tvSeries,2014,0,60,Reality-TV,7.1,1526.0
The Following,TV-14,2015,1,teen,tvSeries,2013,2015,43,"Crime,Drama,Horror",7.4,96636.0
Crazy Ex-Girlfriend,TV-14,2017,1,teen,tvSeries,2015,2019,42,"Comedy,Musical",7.9,24234.0
The Client List,TV-14,2013,1,teen,tvSeries,2011,2013,42,"Crime,Drama",6.5,13348.0
The Seven Deadly Sins,TV-14,2016,1,teen,tvSeries,2014,2021,24,"Action,Adventure,Animation",7.6,46717.0
Dawn of the Croods,TV-Y7,2017,1,kid,tvSeries,2015,2017,23,"Adventure,Animation,Comedy",5.9,1087.0
Little Einsteins,TV-Y,2007,1,kid,tvSeries,2005,2010,,"Adventure,Animation,Comedy",6.4,3147.0
Dragons: Race to the Edge,TV-Y7-FV,2017,1,kid,tvSeries,2015,2018,22,"Action,Adventure,Animation",8.2,11263.0
Pocoyo,TV-Y,2007,1,kid,tvSeries,2005,2025,7,"Adventure,Animation,Comedy",7.1,2926.0
The Flash,TV-PG,2016,1,teen,tvSeries,2014,2023,43,"Action,Adventure,Drama",7.5,386349.0
Clifford the Big Red Dog,TV-Y,2002,1,kid,tvSeries,2000,2003,30,"Animation,Comedy,Family",6.5,6406.0
Sense8,TV-MA,2017,0,adult,tvSeries,2015,2018,60,"Drama,Mystery,Sci-Fi",8.2,171864.0
Grace and Frankie,TV-MA,2017,0,adult,tvSeries,2015,2022,30,"Comedy,Drama",8.2,62062.0
How to Get Away with Murder,TV-14,2016,1,teen,tvSeries,2014,2020,45,"Crime,Drama,Mystery",8.1,178987.0
Transformers: Robots in Disguise,TV-Y7,2016,1,kid,tvSeries,2014,2020,22,"Action,Adventure,Animation",6.0,1678.0
